artist_count;released_year;released_month;released_day;in_spotify_playlists;in_spotify_charts;bpm;danceability__;valence__;energy__;acousticness__;instrumentalness__;liveness__;speechiness__;in_apple_playlists;in_apple_charts;in_deezer_playlists;in_deezer_charts;in_shazam_charts;released_date;track_id_limpo;mode_maiusculo;track_name_limpo;artist_name_limpo;total_playlists;media_total_charts;streams_corrigido;n_musicas;quartil_streams;quartil_bpm;quartil_danceability;quartil_valence;quartil_energy;quartil_acousticness;quartil_instrumentalness;quartil_liveness;quartil_speechiness;segmentacao_streams;segmentacao_bpm;segmentacao_danceability;segmentacao_valence;segmentacao_energy;segmentacao_acousticness;segmentacao_instrumentalness;segmentacao_liveness;segmentacao_speechiness
1;2017;4;28;3423;21;117;61;45;69;2;0;9;3;41;100;59;1;32;28/04/2017;4495422;MAJOR;DANDELIONS;RUTH B;3523;38,5;1116995633;1;4;2;2;2;3;1;4;1;1;Alto;Baixo;Baixo;Baixo;Alto;Baixo;Alto;Baixo;Baixo
1;2022;2;4;2711;0;160;61;65;64;1;0;12;4;105;12;51;0;12;04/02/2022;1159428;MINOR;SHES ALL I WANNA BE;TATE MCRAE;2867;6;343197054;2;3;4;2;3;2;1;3;2;1;Alto;Alto;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo
1;2022;12;2;811;4;142;61;92;91;0;0;26;3;11;58;5;0;21;02/12/2022;2840055;MAJOR;ONE THING AT A TIME;MORGAN WALLEN;827;20,75;148469433;11;2;4;2;4;4;1;1;4;1;Baixo;Alto;Baixo;Alto;Alto;Baixo;Baixo;Alto;Baixo
1;2011;1;1;14739;43;108;61;47;68;0;0;13;3;88;112;2163;5;519;01/01/2011;4350729;MINOR;SET FIRE TO THE RAIN;ADELE;16990;169,75;1163620694;4;4;2;2;2;3;1;2;3;1;Alto;Baixo;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Baixo
2;2022;7;6;8506;45;128;62;55;78;1;3;23;4;94;65;164;14;176;06/07/2022;4431554;MAJOR;QUEVEDO BZRP MUSIC SESSIONS VOL 52;BIZARRAP QUEVEDO;8764;75;1356565093;1;4;3;2;3;4;1;4;3;1;Alto;Alto;Baixo;Alto;Alto;Baixo;Alto;Alto;Baixo
1;2023;6;9;674;47;93;62;57;59;3;0;38;3;20;106;25;4;78;09/06/2023;8365464;MAJOR;TAKE TWO;BTS;719;58,75;118482347;7;1;1;2;3;2;1;2;4;1;Baixo;Baixo;Baixo;Alto;Baixo;Baixo;Baixo;Alto;Baixo
1;2023;3;24;373;19;120;62;32;76;0;0;39;4;4;72;5;0;5;24/03/2023;7881394;MAJOR;LIKE CRAZY ENGLISH VERSION;JIMIN;382;24;173627354;3;2;2;2;1;3;1;3;4;2;Baixo;Baixo;Baixo;Baixo;Alto;Baixo;Alto;Alto;Baixo
1;2021;4;9;2619;12;130;63;49;73;5;0;9;3;47;90;1;0;7;09/04/2021;3090144;MAJOR;YOU BELONG WITH ME TAYLORS VE;TAYLOR SWIFT;2667;27,25;350381515;34;3;3;2;2;3;1;3;1;1;Alto;Alto;Baixo;Baixo;Alto;Baixo;Alto;Baixo;Baixo
1;2022;6;9;1057;0;83;63;29;62;4;0;18;4;51;14;19;0;0;09/06/2022;2230668;MINOR;SO GOOD;HALSEY;1127;3,5;91781263;1;1;1;2;1;2;1;3;3;1;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Alto;Baixo
2;2005;9;20;2577;0;93;63;93;88;1;0;12;4;108;56;30;0;0;20/09/2005;2616615;MAJOR;YOU MAKE IT FEEL LIKE CHRISTMAS FEAT BLAKE SHELTON;GWEN STEFANI BLAKE SHELTON;2715;14;180577478;1;2;1;2;4;4;1;3;2;1;Baixo;Baixo;Baixo;Alto;Alto;Baixo;Alto;Baixo;Baixo
